website_name,city_pt,country_pt,city_en,country_en,city_es,country_es,city_loc,country_loc,city_loc2,country_loc2,flag,lula_votos_2o,lula_pct_2o,bolsonaro_votos_2o,bolsonaro_pct_2o,votos_validos,votos_total,anulados,anulados_sub_judice,nulos,nulos_pct,em_branco,em_branco_pct,anulados_e_apurados,anulados_e_apurados_pct,concorrentes_pct
Assunção,Assunção,Paraguai,Asunción,Paraguay,Asunción,Paraguay,Asunción,Paraguay,Paraguay,Paraguái,🇵🇾,317,25.63,920,74.37,1237,1289,0,0,20,1.55,32,2.48,0,0.00,74.37
Astana,Astana,Cazaquistão,Astana,Kazakhstan,Astaná,Kazajistán,Астана,Қазақстан,,,🇰🇿,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Atenas,Atenas,Grécia,Athens,Greece,Atenas,Grecia,Αθήνα,Ελλάδα,,,🇬🇷,193,44.37,242,55.63,435,458,0,0,8,1.75,15,3.27,0,0.00,55.63
Atlanta,Atlanta,Estados Unidos,Atlanta,United States,Atlanta,Estados Unidos,Atlanta,United States,,,🇺🇸,1180,25.92,3373,74.08,4553,4695,0,0,66,1.41,76,1.61,0,0.00,74.08
Bagdá,Bagdá,Iraque,Baghdad,Iraq,Bagdad,Irak,بَغْدَاد,العراق,,,🇮🇶,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Baku,Baku,Azerbaijão,Baku,Azerbaijan,Bakú,Azerbaiyán,Bakı,Azərbaycan,باکی,آذربایجان جومهوریتی,🇦🇿,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Bamako,Bamako,Mali,Bamako,Mali,Bamako,Malí,Bamako,Mali,,,🇲🇱,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Bangkok,Bangkok,Tailândia,Bangkok,Thailand,Bangkok,Tailandia,กรุงเทพฯ,ประเทศไทย,,,🇹🇭,47,48.45,50,51.55,97,103,0,0,3,2.91,3,2.92,0,0.00,51.55
Barcelona,Barcelona,Espanha,Barcelona,Spain,Barcelona,España,Barcelona,España,,,🇪🇸,3246,75.51,1053,24.49,4299,4465,0,0,91,2.04,75,1.68,0,0.00,24.49
Barein,Manama,Barein,Manama,Bahrain,Manama,Baréin,المنامة,البحرين,,,🇧🇭,11,30.56,25,69.44,36,40,0,0,4,10.00,0,0.00,0,0.00,69.44
Beirute,Beirute,Líbano,Beirut,Lebanon,Beirut,Líbano,بيروت,لبنان,Beyrouth,Liban,🇱🇧,1591,59.14,1099,40.86,2690,2825,0,0,59,2.09,76,2.69,0,0.00,40.86
Belgrado,Belgrado,Sérvia,Belgrade,Serbia,Belgrado,Serbia,Београд,Србија,Beograd,Srbija,🇷🇸,36,75.00,12,25.00,48,50,0,0,2,4.00,0,0.00,0,0.00,25.00
Belmopan,Belmopan,Belize,Belmopan,Belize,Belmopán,Belice,Belmopan,Belize,,,🇧🇿,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Berlim,Berlim,Alemanha,Berlin,Germany,Berlina,Alemania,Berlin,Deutschland,,,🇩🇪,6206,85.99,1011,14.01,7217,7407,0,0,122,1.65,68,0.92,0,0.00,14.01
Bissau,Bissau,Guiné-Bissau,Bissau,Guinea-Bissau,Bisáu,Guinea-Bisáu,Bissau,Guiné-Bissau,,,🇬🇼,20,44.44,25,55.56,45,45,0,0,0,0.00,0,0.00,0,0.00,55.56
Bogotá,Bogotá,Colômbia,Bogotá,Colombia,Bogotá,Colombia,Bogotá,Colombia,,,🇨🇴,380,56.46,293,43.54,673,715,0,0,11,1.54,31,4.33,0,0.00,43.54
Boston,Boston,Estados Unidos,Boston,United States,Boston,Estados Unidos,Boston,United States,,,🇺🇸,3508,24.25,10960,75.75,14468,14817,0,0,174,1.17,175,1.19,0,0.00,75.75
Bratislava,Bratislava,Eslováquia,Bratislava,Slovakia,Bratislava,Eslovaquia,Bratislava,Slovensko,,,🇸🇰,43,69.35,19,30.65,62,72,0,0,6,8.33,4,5.56,0,0.00,30.65
Brazzaville,Brazzaville,República do Congo,Brazzaville,Republic of the Congo,Brazzaville,República del Congo,Brazzaville,République du Congo,Brazzaville,Kongó-Brazzaville,🇨🇬,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Bridgetown,Bridgetown,Barbados,Bridgetown,Barbados,Bridgetown,Barbados,Bridgetown,Barbados,,,🇧🇧,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Bruxelas,Bruxelas,Bélgica,Brussels,Belgium,Bruselas,Bélgica,Bruxelles,Belgique,Brussel,België,🇧🇪,2115,59.43,1444,40.57,3559,3689,0,0,72,1.95,58,1.57,0,0.00,40.57
Bucareste,Bucareste,Romênia,Bucharest,Romania,Bucarest,Rumania,București,România,,,🇷🇴,38,66.67,19,33.33,57,60,0,0,3,5.00,0,0.00,0,0.00,33.33
Budapeste,Budapesta,Hungria,Budapest,Hungary,Budapest,Hungría,Budapest,Magyarország,,,🇭🇺,481,85.28,83,14.72,564,579,0,0,7,1.21,8,1.38,0,0.00,14.72
Buenos Aires,Buenos Aires,Argentina,Buenos Aires,Argentina,Buenos Aires,Argentina,Buenos Aires,Argentina,,,🇦🇷,4373,66.13,2240,33.87,6613,6770,0,0,79,1.17,78,1.15,0,0.00,33.87
Caiena,Caiena,França,Cayenne,France,Cayena,Francia,Cayenne,France,,,🇫🇷,598,45.30,722,54.70,1320,1379,0,0,26,1.89,33,2.39,0,0.00,54.70
Cairo,Cairo,Egito,Cairo,Egypt,El Cairo,Egipto,القاهرة‎,مصر‎,,,🇪🇬,46,66.67,23,33.33,69,73,0,0,2,2.74,2,2.74,0,0.00,33.33
Camberra,Camberra,Austrália,Canberra,Australia,Canberra,Australia,Canberra,Australia,,,🇦🇺,1264,64.06,709,35.94,1973,2088,0,0,71,3.40,44,2.11,0,0.00,35.94
Cantão,Cantão,China,Guangzhou,China,Cantón,China,广州,中国,廣州,中國,🇨🇳,27,30.68,61,69.32,88,92,0,0,3,3.26,1,1.09,0,0.00,69.32
Caracas,Caracas,Venezuela,Caracas,Venezuela,Caracas,Venezuela,Caracas,Venezuela,,,🇻🇪,0,0.00,6,100.00,6,6,0,0,0,0.00,0,0.00,0,0.00,100.00
Castries,Castries,Santa Lúcia,Castries,Saint Lucia,Castries,Santa Lucia,Castries,Saint Lucia,,,🇱🇨,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Chicago,Chicago,Estados Unidos,Chicago,United States,Chicago,Estados Unidos,Chicago,United States,,,🇺🇸,1586,55.90,1251,44.10,2837,2951,0,0,60,2.03,54,1.83,0,0.00,44.10
Chuy,Chuy,Uruguai,Chuy,Uruguay,Chuy,Uruguay,Chuy,Uruguay,,,🇺🇾,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Cidade do Cabo,Cidade do Cabo,Africa do Sul,Cape Town,South Africa,Ciudad del Cabo,Sudáfrica,Kaapstad,Suid-Afrika,iKapa,uMzantsi Afrika,🇿🇦,100,61.73,62,38.27,162,171,0,0,8,4.68,1,0.58,0,0.00,38.27
Ciudad Del Este,Ciudad del Este,Paraguai,Ciudad del Este,Paraguay,Ciudad del Este,Paraguay,Ciudad del Este,Paraguay,Táva Kuarahyresẽme,Paraguái,🇵🇾,238,8.05,2719,91.95,2957,3006,0,0,24,0.80,25,0.83,0,0.00,91.95
Ciudad Guayana,Ciudad Guayana,Venezuela,Ciudad Guayana,Venezuela,Ciudad Guayana,Venezuela,Ciudad Guayana,Venezuela,,,🇻🇪,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Cobija,Cobija,Bolívia,Cobija,Bolivia,Cobija,Bolivia,Cobija,Bolivia,Kuwiha,Buliwya,🇧🇴,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Cochabamba,Cochabamba,Bolívia,Cochabamba,Bolivia,Cochabamba,Bolivia,Cochabamba,Bolivia,Quchapampa,Buliwya,🇧🇴,101,37.41,169,62.59,270,274,0,0,2,0.73,2,0.73,0,0.00,62.59
Colombo,Colombo,Sri Lanka,Colombo,Sri Lanka,Colombo,Sri Lanka,කොළඹ,ශ්‍රී ලංකා,கொழும்பு,இலங்கை,🇱🇰,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Conacri,Conacri,Guiné,Conakry,Guinea,Conakri,Guinea,Conakry,Guinée,,,🇬🇳,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Concepción,Concepción,Chile,Concepción,Chile,Concepción,Chile,Concepción,Chile,,,🇨🇱,3,8.57,32,91.43,35,35,0,0,0,0.00,0,0.00,0,0.00,91.43
Copenhague,Copenhague,Dinamarca,Copenhagen,Denmark,Copenhague,Dinamarca,København,Danmark,,,🇩🇰,1047,84.10,198,15.90,1245,1306,0,0,32,2.45,29,2.22,0,0.00,15.90
Cotonou,Cotonu,Benim,Cotonou,Benin,Cotonú,Benín,Cotonou,Bénin,,,🇧🇯,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Córdoba,Córdoba,Argentina,Córdoba,Argentina,Córdoba,Argentina,Córdoba,Argentina,,,🇦🇷,180,52.79,161,47.21,341,355,0,0,8,2.25,6,1.69,0,0.00,47.21
Dacar,Dacar,Senegal,Dakar,Senegal,Dakar,Senegal,Dakar,Sénégal,,,🇸🇳,39,58.21,28,41.79,67,68,0,0,1,1.47,0,0.00,0,0.00,41.79
Damasco,Damasco,Sírio,Damascus,Syria,Damasco,Siria,دمشق,سوريا,,,🇸🇾,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Dar Es Salaam,Dar es Salaam,Tanzânia,Dar es Salaam,Tanzania,Dar es-Salam,Tanzania,Dar es Salaam,Tanzania,,,🇹🇿,6,75.00,2,25.00,8,8,0,0,0,0.00,0,0.00,0,0.00,25.00
Doha,Doha,Catar,Doha,Qatar,Doha,Catar,الدوحة,قطر,,,🇶🇦,151,40.59,221,59.41,372,383,0,0,6,1.57,5,1.30,0,0.00,59.41
Dublin,Dublin,Irlandia,Dublin,Ireland,Dublín,Irlanda,Baile Átha Cliath,Éire,Dublin,Ireland,🇮🇪,6023,81.81,1339,18.19,7362,7492,0,0,78,1.04,52,0.70,0,0.00,18.19
Díli,Díli,Timor-Leste,Dili,Timor-Leste,Dili,Timor-Leste,Díli,Timór-Leste,,,🇹🇱,22,37.29,37,62.71,59,63,0,0,1,1.59,3,4.76,0,0.00,62.71
Encarnación,Encarnación,Paraguai,Encarnación,Paraguay,Encarnación,Paraguay,Encarnación,Paraguay,Enkarnasiõ,Paraguái,🇵🇾,16,11.68,121,88.32,137,139,0,0,0,0.00,2,1.44,0,0.00,88.32
Estocolmo,Estocolimo,Suécia,Stockholm,Sweden,Estocolmo,Suecia,Stockholm,Sverige,,,🇸🇪,1785,76.71,542,23.29,2327,2432,0,0,41,1.69,64,2.63,0,0.00,23.29
Faro,Faro,Portugal,Faro,Portugal,Faro,Portugal,Faro,Portugal,,,🇵🇹,934,52.00,862,48.00,1796,1872,0,0,42,2.24,34,1.82,0,0.00,48.00
Frankfurt,Frankfurt,Alemanha,Frankfurt,Germany,Fráncfort,Alemania,Frankfurt,Deutschland,,,🇩🇪,3647,71.51,1453,28.49,5100,5268,0,0,98,1.86,70,1.33,0,0.00,28.49
Gaborone,Gaborone,Botswana,Gaborone,Botswana,Gaborone,Botsuana,Gaborone,Botswana,,,🇧🇼,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Genebra,Genebra,Suiça,Geneva,Switzerland,Ginebra,Suiza,Genève,Suisse,Genf,Schweiz,🇨🇭,2320,50.45,2279,49.55,4599,4780,0,0,86,1.80,95,1.99,0,0.00,49.55
Georgetown,Georgetown,Guiana,Georgetown,Guyana,Georgetown,Guyana,Georgetown,Guyana,,,🇬🇾,8,12.12,58,87.88,66,68,0,0,1,1.47,1,1.47,0,0.00,87.88
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,,,🇬🇹,35,24.48,108,75.52,143,145,0,0,2,1.38,0,0.00,0,0.00,75.52
Hamamatsu,Hamamatsu,Japâo,Hamamatsu,Japan,Hamamatsu,Japón,浜松,日本,,,🇯🇵,841,14.61,4916,85.39,5757,6158,0,0,177,2.87,224,3.64,0,0.00,85.39
Hanói,Hanói,Vietnã,Hanoi,Vietnam,Hanói,Vietnam,Hà Nội,Việt Nam,,,🇻🇳,13,68.42,6,31.58,19,19,0,0,0,0.00,0,0.00,0,0.00,31.58
Harare,Harare,Zimbábue,Harare,Zimbabwe,Harare,Zimbabue,Harare,Zimbabwe,,,🇿🇼,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Hartford,Hartford,Estados Unidos,Hartford,United States,Hartford,Estados Unidos,Hartford,United States,,,🇺🇸,525,36.01,933,63.99,1458,1502,0,0,21,1.40,23,1.53,0,0.00,63.99
Havana,Havana,Cuba,Havana,Cuba,La Habana,Cuba,La Habana,Cuba,,,🇨🇺,32,100.00,0,0.00,32,32,0,0,0,0.00,0,0.00,0,0.00,0.00
Helsinque,Helsinque,Finlândia,Helsinki,Finland,Helsinki,Finlandia,Helsinki,Suomi,Helsingfors,Finland,🇫🇮,444,73.15,163,26.85,607,634,0,0,9,1.42,18,2.84,0,0.00,26.85
Hong Kong,Hong Kong,China,Hong Kong,China,Hong Kong,China,香港,中國,香港,中国,🇭🇰,80,45.71,95,54.29,175,194,0,0,8,4.12,11,5.67,0,0.00,54.29
Houston,Houston,Estados Unidos,Houston,United States,Houston,Estados Unidos,Houston,United States,,,🇺🇸,1458,34.66,2748,65.34,4206,4413,0,0,112,2.54,95,2.15,0,0.00,65.34
Iaundê,Iaundê,Camarões,Yaoundé,Cameroon,Yaundé,Camerún,Yaoundé,Cameroun,,,🇨🇲,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Ierevan,Ierevan,Arménia,Yerevan,Armenia,Ereván,Armenia,Երևան,Հայաստան,,,🇦🇲,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Iquitos,Iquitos,Peru,Iquitos,Peru,Iquitos,Perú,Iquitos,Perú,,,🇵🇪,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Islamabade,Islamabade,Paquistão,Islamabad,Pakistan,Islamabad,Pakistán,اسلام آباد,پاکستان,اسلام آباد,پاکستان,🇵🇰,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Istambul,Istambul,Turquia,Istanbul,Turkey,Estambul,Turquía,İstanbul,Türkiye,,,🇹🇷,76,63.33,44,36.67,120,122,0,0,1,0.82,1,0.82,0,0.00,36.67
Jacarta,Jacarta,Indonésia,Jakarta,Indonesia,Yakarta,Indonesia,Jakarta,Indonesia,Jakarta,Indonesië,🇮🇩,15,31.91,32,68.09,47,48,0,0,1,2.08,0,0.00,0,0.00,68.09
Katmandu,Katmandu,Nepal,Kathmandu,Nepal,Katmandú,Nepal,काठमाडौँ,नेपाल,,,🇳🇵,2,13.33,13,86.67,15,15,0,0,0,0.00,0,0.00,0,0.00,86.67
Kiev,Kiev,Ucrânia,Kyiv,Ukraine,Kiev,Ucrania,Київ,Україна,,,🇺🇦,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Kingston-Jamaica,Kingston,Jamaica,Kingston,Jamaica,Kingston,Jamaica,Kingston,Jamaica,,,🇯🇲,11,52.38,10,47.62,21,21,0,0,0,0.00,0,0.00,0,0.00,47.62
Kinshasa,Kinshasa,República Democrática do Congo,Kinshasa,Democratic Republic of the Congo,Kinsasa,República Democrática del Congo,Kinshasa,République_démocratique_du_Congo,Kinsásá,Kongó-Kinsásá,🇨🇩,1,10.00,9,90.00,10,10,0,0,0,0.00,0,0.00,0,0.00,90.00
Kuaite,Kuaite,Kuaite,Kuwait,Kuwait,Kuwait,Kuwait,الكويت,الكويت,,,🇰🇼,10,25.64,29,74.36,39,44,0,0,5,11.36,0,0.00,0,0.00,74.36
